Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,episode_category,is_holiday
6,1,Honeymoon,2019-03-28 00:00:00,8.4,2828,Jake and Amy go on their honeymoon; Gina and Charles get into a family squabble; Terry tries to live up to his new nickname.,Masterpiece,Non-Holiday
6,2,Hitchcock & Scully,2019-04-04 00:00:00,8.8,2998,"Jake and Charles investigate a case of Hitchcock and Scully's from the 1980s; meanwhile, Amy's uniformed officers and Terry's detectives fight over limited resources.",Masterpiece,Non-Holiday
6,3,The Tattler,2019-04-11 00:00:00,7.6,2252,"Jake and Gina attend their 20th high school reunion. Back at the Nine-Nine, Charles helps Rosa with her love life.",Great,Non-Holiday
6,4,Four Movements,2019-04-18 00:00:00,7.4,2430,Gina plays a high-stakes game of chess with Capt. Holt; Rosa and Amy take Gina out for a fancy brunch; Jake and Gina must use their wits to infiltrate a posh club.,Great,Non-Holiday
6,5,A Tale of Two Bandits,2019-04-25 00:00:00,8.2,2310,"Terry believes the Pontiac Bandit has gone back to stealing cars, but Jake tries to prove him wrong; the rest of the squad fight to keep Shaw's a police bar when some firemen stake a claim to it.",Great,Non-Holiday
6,6,The Crime Scene,2019-05-02 00:00:00,8.5,2451,Jake and Rosa must deal with a mother in mourning when they work on a difficult murder case with confusing evidence.,Masterpiece,Non-Holiday
6,7,The Honeypot,2019-05-09 00:00:00,8.5,2338,"Jake and Holt clash over the merits of a new hire in the 99th precinct. Terry, Amy, Rosa and Charles try to do something about the cluttered bullpen.",Masterpiece,Non-Holiday
6,8,"He Said, She Said",2019-05-16 00:00:00,7.0,3847,"Jake and Amy investigate a difficult ""he said, she said"" case of sexual assault. Holt becomes suspicious after learning his lifelong arch nemesis died in a prison transport accident.",Average,Non-Holiday
6,9,The Golden Child,2019-05-30 00:00:00,8.1,2198,"Jake helps Amy navigate the complicated relationship she has with her brother, David. Charles introduces some drama into an undercover mission involving Terry and Holt.",Great,Non-Holiday
6,10,Gintars,2019-06-06 00:00:00,7.4,2017,A visitor from Latvia causes Charles and Jake to investigate Nikolaj's family. Holt and Amy bring in famed forensic scientist Dr. Yee to help close a case for Rosa.,Great,Non-Holiday
6,11,The Therapist,2019-06-13 00:00:00,8.1,2087,Charles gets Jake involved in a case where a therapist reports one of his patients missing; Holt learns that Rosa has a new girlfriend whom everyone else has met; Amy thinks she mistakenly received a package for Terry.,Great,Non-Holiday
6,12,Casecation,2019-06-20 00:00:00,7.6,2256,Work is so busy for Jake and Amy that they end up celebrating their anniversary while standing guard over a comatose patient in the hospital.,Great,Non-Holiday
6,13,The Bimbo,2019-06-27 00:00:00,7.9,1968,"Holt and Jake investigate a case at Kevin's university. Back at the precinct, Terry and Amy take the squad out for lunch.",Great,Non-Holiday
6,14,Ticking Clocks,2019-07-04 00:00:00,8.4,2187,Jake and the squad must track down a hacker who has infiltrated the Nine-Nine's servers; Rosa deals with relationship issues; Hitchcock and Scully attempt to cook the perfect lasagna.,Masterpiece,Non-Holiday
6,15,Return of the King,2019-05-02 00:00:00,6.4,2463,"When Gina returns to the Nine-Nine, Jake and Terry get drawn into her life. Holt learns that Charles' son, Nikolaj, may be a genius; Rosa copes with an injury.",Average,Non-Holiday
6,16,Cinco de Mayo,2019-05-09 00:00:00,9.2,2923,"In order to distract Terry from the stress of his upcoming lieutenant's exam, Jake, Holt and the squad decide to hold the annual Halloween Heist on a new date, Cinco de Mayo.",Masterpiece,Holiday
6,17,Sicko,2019-05-16 00:00:00,8.5,1981,"Jake and Charles investigate a dangerous serial killer. Holt continues to spar with his rival, Commissioner Kelly. Terry tries to find a way to stay at the Nine-Nine.",Masterpiece,Non-Holiday
6,18,Suicide Squad,2019-05-16 00:00:00,9.1,2596,"Desperate circumstances call for desperate measures, as Jake, Holt, Amy, Terry, Rosa and Charles must ally themselves with old enemies.",Masterpiece,Non-Holiday
7,1,Manhunter,2020-03-26 00:00:00,8.1,2053,Jake leads a manhunt after an assassination attempt on a city councilor; Holt adjusts to his new position as a uniformed officer.,Great,Non-Holiday
